keyword,frequency,region,source_seed,source_block,collected_at,intent,cluster,notes
клен оборудование для ресторана сайт,150,Все регионы,сайт для ресторана,unknown,2026-07-08T09:13:09.255Z,mixed,клен оборудование,все-регионы__сайт-для-ресторана.json
сайт для записи к врачам москва,150,Все регионы,сайт для врача,unknown,2026-07-08T09:12:11.552Z,geo,сайт записи,все-регионы__сайт-для-врача.json
клен оборудование для ресторана официальный сайт,148,Все регионы,сайт для ресторана,unknown,2026-07-08T09:13:09.255Z,mixed,клен оборудование,все-регионы__сайт-для-ресторана.json
сайт врачей для пациентов,146,Все регионы,сайт для врача,unknown,2026-07-08T09:12:11.552Z,mixed,сайт врачей,все-регионы__сайт-для-врача.json
интернет магазин для садоводов официальный сайт,145,Все регионы,сайт для интернет магазина,unknown,2026-07-08T09:15:24.267Z,mixed,интернет магазин,все-регионы__сайт-для-интернет-магазина.json
сайт сундучок для воспитателей детских садов,145,Все регионы,сайт для детского сада,unknown,2026-07-08T09:14:19.310Z,mixed,сайт сундучок,все-регионы__сайт-для-детского-сада.json
сайт услуги для бизнеса,145,Все регионы,сайт для бизнеса; сайт для услуг,unknown,2026-07-08T09:11:26.567Z,commercial,сайт услуги,все-регионы__сайт-для-бизнеса.json; also:все-регионы__сайт-для-услуг.json
сайт охрана труда положения для школы,144,Все регионы,сайт для школы,contains,2026-07-08T09:14:04.589Z,mixed,сайт охрана,все-регионы__сайт-для-школы.json
сайт школы для одаренных детей,142,Все регионы,сайт для школы,contains,2026-07-08T09:14:04.589Z,mixed,сайт школы,все-регионы__сайт-для-школы.json
сайт для интернет магазина летуаль,141,Все регионы,сайт для интернет магазина,unknown,2026-07-08T09:15:24.267Z,mixed,сайт интернет,все-регионы__сайт-для-интернет-магазина.json
сайты для брони отелей,141,Все регионы,сайт для отеля,unknown,2026-07-08T09:14:56.380Z,mixed,сайты брони,все-регионы__сайт-для-отеля.json
ля рош позе сайт для врачей официальный,138,Все регионы,сайт для врача,unknown,2026-07-08T09:12:11.553Z,mixed,рош позе,все-регионы__сайт-для-врача.json
