keyword,frequency,region,source_seed,source_block,collected_at,intent,cluster,notes
сайт для брони кубинских отелей,20265,Все регионы,сайт для отеля,unknown,2026-07-08T09:14:56.385Z,mixed,сайт брони,все-регионы__сайт-для-отеля.json
сайт для интернет магазина,11292,Все регионы,сайт для интернет магазина,unknown,2026-07-08T09:15:24.263Z,mixed,сайт интернет,все-регионы__сайт-для-интернет-магазина.json
сайт для школы,9026,Все регионы,сайт для школы,contains,2026-07-08T09:14:04.585Z,mixed,сайт школы,все-регионы__сайт-для-школы.json
официальный сайт интернет магазина для,8798,Все регионы,сайт для интернет магазина,unknown,2026-07-08T09:15:24.263Z,mixed,официальный сайт,все-регионы__сайт-для-интернет-магазина.json
сайт для бизнеса,7206,Все регионы,сайт для бизнеса,unknown,2026-07-08T09:11:26.561Z,mixed,сайт бизнеса,все-регионы__сайт-для-бизнеса.json
сайт для компании,7165,Все регионы,сайт для компании,unknown,2026-07-08T09:11:42.138Z,mixed,сайт компании,все-регионы__сайт-для-компании.json
сайт под ключ,7108,Все регионы,сайт под ключ,unknown,2026-07-08T14:18:35.474Z,commercial,сайт ключ,все-регионы__сайт-под-ключ.json
сайт для услуг,5978,Все регионы,сайт для услуг,unknown,2026-07-08T09:11:57.324Z,mixed,сайт услуг,все-регионы__сайт-для-услуг.json
сайт для врачей,4454,Все регионы,сайт для врача,unknown,2026-07-08T09:12:11.551Z,mixed,сайт врачей,все-регионы__сайт-для-врача.json
сайты для отелей,4021,Все регионы,сайт для отеля,unknown,2026-07-08T09:14:56.379Z,mixed,сайты отелей,все-регионы__сайт-для-отеля.json
сайт для детского сада,3762,Все регионы,сайт для детского сада,unknown,2026-07-08T09:14:19.308Z,mixed,сайт детского,все-регионы__сайт-для-детского-сада.json
сайты для доставок,2774,Все регионы,сайт для доставки,unknown,2026-07-08T09:15:39.482Z,mixed,сайты доставок,все-регионы__сайт-для-доставки.json
официальный сайт для бизнеса,2290,Все регионы,сайт для бизнеса,unknown,2026-07-08T09:11:26.562Z,mixed,официальный сайт,все-регионы__сайт-для-бизнеса.json
сайты для бронирования отелей,2105,Все регионы,сайт для отеля,unknown,2026-07-08T09:14:56.379Z,mixed,сайты бронирования,все-регионы__сайт-для-отеля.json
каталог товаров для интернет магазина сайта,1863,Все регионы,сайт для интернет магазина,unknown,2026-07-08T09:15:24.263Z,mixed,каталог товаров,все-регионы__сайт-для-интернет-магазина.json
сайты для производство,1627,Все регионы,сайт для производства,unknown,2026-07-08T09:13:51.123Z,mixed,сайты производство,все-регионы__сайт-для-производства.json
валберис интернет магазин официальный сайт для,1539,Все регионы,сайт для интернет магазина,unknown,2026-07-08T09:15:24.263Z,mixed,валберис интернет,все-регионы__сайт-для-интернет-магазина.json
сайты для ресторанов,1507,Все регионы,сайт для ресторана,unknown,2026-07-08T09:13:09.255Z,mixed,сайты ресторанов,все-регионы__сайт-для-ресторана.json
официальные сайты для врачей,1450,Все регионы,сайт для врача,unknown,2026-07-08T09:12:11.551Z,mixed,официальные сайты,все-регионы__сайт-для-врача.json
сайт для интернет магазина цена,1419,Все регионы,сайт для интернет магазина,unknown,2026-07-08T09:15:24.263Z,commercial,сайт интернет,все-регионы__сайт-для-интернет-магазина.json
создание сайта под ключ,1372,Все регионы,сайт под ключ,unknown,2026-07-08T14:18:35.475Z,commercial,создание сайта,все-регионы__сайт-под-ключ.json
вайлдберриз интернет магазин официальный сайт для,1247,Все регионы,сайт для интернет магазина,unknown,2026-07-08T09:15:24.264Z,mixed,вайлдберриз интернет,все-регионы__сайт-для-интернет-магазина.json
сайт для записи к врачу,1187,Все регионы,сайт для врача,unknown,2026-07-08T09:12:11.551Z,mixed,сайт записи,все-регионы__сайт-для-врача.json
сайт школы для детей,1173,Все регионы,сайт для школы,contains,2026-07-08T09:14:04.585Z,mixed,сайт школы,все-регионы__сайт-для-школы.json
